applicability_mode,accuracy,policy,mean_nodes,ci_nodes_lo,ci_nodes_hi,mean_fatals,ci_fatals_lo,ci_fatals_hi,success_rate,mean_ver_actions,mean_ver_nodes,delta_nodes_vs_baseline,delta_nodes_ci_lo,delta_nodes_ci_hi,delta_fatals_vs_baseline
calibrated,0.0,baseline,2.88,2.685,3.095,0.995,0.89,1.1151,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.0,advisory,2.88,2.685,3.095,0.995,0.89,1.1151,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.0,v1_uncertainty,3.435,3.265,3.62,1.255,1.155,1.355,1.0,0.0,0.0,-0.555,-0.755,-0.37,0.26
calibrated,0.0,v2_verification_action,3.66,3.4449,3.88,1.13,1.025,1.245,1.0,0.22,0.22,-0.78,-0.99,-0.58,0.135
calibrated,0.1,baseline,3.01,2.83,3.2101,1.035,0.9349,1.1451,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.1,advisory,3.01,2.83,3.2101,1.035,0.9349,1.1451,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.1,v1_uncertainty,3.16,2.97,3.35,1.11,1.0,1.2101,1.0,0.0,0.0,-0.15,-0.3651,0.085,0.075
calibrated,0.1,v2_verification_action,3.42,3.205,3.6552,1.025,0.915,1.1251,1.0,0.22,0.22,-0.41,-0.655,-0.16,-0.01
calibrated,0.2,baseline,3.025,2.83,3.23,1.085,0.9699,1.2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.2,advisory,3.025,2.83,3.23,1.085,0.9699,1.2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.2,v1_uncertainty,2.875,2.68,3.075,0.96,0.8499,1.085,1.0,0.0,0.0,0.15,-0.09,0.37,-0.125
calibrated,0.2,v2_verification_action,3.18,2.95,3.41,0.975,0.86,1.095,1.0,0.225,0.225,-0.155,-0.415,0.0851,-0.11
calibrated,0.3,baseline,2.925,2.7299,3.12,1.015,0.915,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.3,advisory,2.925,2.7299,3.12,1.015,0.915,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.3,v1_uncertainty,2.8,2.605,2.99,0.935,0.82,1.04,1.0,0.0,0.0,0.125,-0.09,0.365,-0.08
calibrated,0.3,v2_verification_action,3.01,2.79,3.22,0.865,0.755,0.97,1.0,0.225,0.225,-0.085,-0.2851,0.155,-0.15
calibrated,0.4,baseline,2.755,2.5549,2.9601,0.915,0.8,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.4,advisory,2.755,2.5549,2.9601,0.915,0.8,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.4,v1_uncertainty,2.445,2.2249,2.655,0.715,0.605,0.8201,1.0,0.0,0.0,0.31,0.08,0.565,-0.2
calibrated,0.4,v2_verification_action,2.685,2.455,2.915,0.705,0.59,0.815,1.0,0.215,0.215,0.07,-0.1751,0.3401,-0.21
calibrated,0.5,baseline,2.81,2.61,3.005,0.985,0.875,1.095,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.5,advisory,2.81,2.61,3.005,0.985,0.875,1.095,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.5,v1_uncertainty,2.11,1.91,2.31,0.62,0.5149,0.725,1.0,0.0,0.0,0.7,0.4599,0.965,-0.365
calibrated,0.5,v2_verification_action,2.32,2.1099,2.54,0.54,0.44,0.645,1.0,0.245,0.245,0.49,0.23,0.7451,-0.445
calibrated,0.6,baseline,2.995,2.795,3.1901,1.05,0.935,1.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.6,advisory,2.995,2.795,3.1901,1.05,0.935,1.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.6,v1_uncertainty,1.99,1.81,2.2001,0.5,0.4,0.615,1.0,0.0,0.0,1.005,0.7499,1.25,-0.55
calibrated,0.6,v2_verification_action,2.245,2.045,2.47,0.465,0.37,0.58,1.0,0.265,0.265,0.75,0.4799,1.015,-0.585
calibrated,0.7,baseline,2.88,2.69,3.0651,1.0,0.88,1.115,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.7,advisory,2.88,2.69,3.0651,1.0,0.88,1.115,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.7,v1_uncertainty,1.765,1.595,1.9501,0.4,0.3049,0.5,1.0,0.0,0.0,1.115,0.8749,1.355,-0.6
calibrated,0.7,v2_verification_action,2.005,1.83,2.195,0.38,0.2899,0.475,1.0,0.26,0.26,0.875,0.63,1.1002,-0.62
calibrated,0.8,baseline,2.865,2.67,3.0501,0.975,0.8699,1.0751,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.8,advisory,2.865,2.67,3.0501,0.975,0.8699,1.0751,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.8,v1_uncertainty,1.435,1.305,1.575,0.235,0.16,0.315,1.0,0.0,0.0,1.43,1.1899,1.64,-0.74
calibrated,0.8,v2_verification_action,1.71,1.57,1.845,0.215,0.145,0.29,1.0,0.285,0.285,1.155,0.94,1.37,-0.76
calibrated,0.9,baseline,2.895,2.6849,3.115,0.98,0.8649,1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.9,advisory,2.895,2.6849,3.115,0.98,0.8649,1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,0.9,v1_uncertainty,1.235,1.1349,1.355,0.125,0.07,0.19,1.0,0.0,0.0,1.66,1.4449,1.8751,-0.855
calibrated,0.9,v2_verification_action,1.505,1.375,1.6551,0.1,0.05,0.16,1.0,0.275,0.275,1.39,1.165,1.615,-0.88
calibrated,1.0,baseline,2.84,2.6549,3.04,0.94,0.825,1.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,1.0,advisory,2.84,2.6549,3.04,0.94,0.825,1.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,1.0,v1_uncertainty,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.84,1.6549,2.04,-0.94
calibrated,1.0,v2_verification_action,1.325,1.2649,1.39,0.0,0.0,0.0,1.0,0.325,0.325,1.515,1.3149,1.72,-0.94
uninformative,0.0,baseline,3.0,2.8199,3.195,1.06,0.9599,1.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.0,advisory,3.0,2.8199,3.195,1.06,0.9599,1.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.0,v1_uncertainty,3.8,3.5899,4.055,1.37,1.28,1.46,1.0,0.0,0.0,-0.8,-1.08,-0.5449,0.31
