config,branches_K,fatals_F,exploration_c,accuracy,baseline_nodes,baseline_fatals,v1_nodes,v1_fatals,v1_delta_nodes,v2_nodes,v2_fatals,v2_delta_nodes
Standard_K4_F2,4,2,1.414,0.2,2.865,0.97,2.71,0.915,0.155,2.945,0.85,-0.08
Standard_K4_F2,4,2,1.414,0.5,2.975,1.03,2.05,0.52,0.925,2.325,0.515,0.65
Standard_K4_F2,4,2,1.414,0.8,2.84,0.95,1.45,0.205,1.39,1.765,0.195,1.075
LowFatal_K4_F1,4,1,1.414,0.2,3.145,0.47,3.015,0.43,0.13,3.325,0.44,-0.18
LowFatal_K4_F1,4,1,1.414,0.5,3.19,0.465,2.21,0.24,0.98,2.495,0.245,0.695
LowFatal_K4_F1,4,1,1.414,0.8,3.155,0.46,1.52,0.1,1.635,1.875,0.105,1.28
LargeSearch_K6_F3,6,3,1.414,0.2,4.73,1.525,4.195,1.29,0.535,4.485,1.225,0.245
LargeSearch_K6_F3,6,3,1.414,0.5,4.715,1.575,3.105,0.94,1.61,3.325,0.865,1.39
LargeSearch_K6_F3,6,3,1.414,0.8,4.72,1.545,1.98,0.4,2.74,2.215,0.375,2.505
DenseSearch_K8_F4,8,4,1.414,0.2,6.935,2.15,6.785,1.87,0.15,7.115,1.8,-0.18
DenseSearch_K8_F4,8,4,1.414,0.5,7.095,2.085,4.455,1.13,2.64,4.95,1.125,2.145
DenseSearch_K8_F4,8,4,1.414,0.8,6.975,2.065,2.085,0.35,4.89,2.39,0.33,4.585
Exploration_Low_c1.0,4,2,1.0,0.2,3.145,0.95,2.995,0.925,0.15,3.215,0.83,-0.07
Exploration_Low_c1.0,4,2,1.0,0.5,3.285,1.02,2.195,0.49,1.09,2.505,0.49,0.78
Exploration_Low_c1.0,4,2,1.0,0.8,3.19,0.98,1.51,0.18,1.68,1.875,0.19,1.315
Exploration_High_c2.0,4,2,2.0,0.2,2.535,1.035,2.555,0.95,-0.02,2.775,0.905,-0.24
Exploration_High_c2.0,4,2,2.0,0.5,2.555,0.99,1.905,0.495,0.65,2.17,0.48,0.385
Exploration_High_c2.0,4,2,2.0,0.8,2.56,1.025,1.405,0.215,1.155,1.72,0.21,0.84
