time,open,high,low,close,tick_volume,spread,real_volume
1992-02-19 00:00:00,86.06,88.18,85.92,86.32,4261,80,0
1992-02-20 00:00:00,86.54,88.31,85.07,86.48,6421,80,0
1992-02-21 00:00:00,86.49,87.24,85.08,85.84,3671,80,0
1992-02-24 00:00:00,85.76,86.75,84.45,86.49,3871,80,0
1992-02-26 00:00:00,86.13,86.77,86.02,86.51,1121,80,0
1992-02-27 00:00:00,86.41,87.54,86.12,87.16,2091,80,0
1992-02-28 00:00:00,87.07,87.28,86.03,87.15,2421,80,0
1992-03-02 00:00:00,86.95,87.65,86.78,87.15,1541,80,0
1992-03-04 00:00:00,86.82,87.37,85.86,86.56,2761,80,0
1992-03-06 00:00:00,86.46,87.41,84.55,87.1,5081,80,0
1992-03-09 00:00:00,87.12,87.69,86.94,87.57,1051,80,0
1992-03-10 00:00:00,87.55,88.25,87.43,87.62,1571,80,0
1992-03-11 00:00:00,87.81,88.75,87.49,88.55,1781,80,0
1992-03-12 00:00:00,88.85,89.15,88.15,88.98,1871,80,0
1992-03-13 00:00:00,89.04,89.12,87.97,88.47,1731,80,0
1992-03-16 00:00:00,88.41,89.05,88.25,88.89,1121,80,0
1992-03-17 00:00:00,88.83,89.73,88.77,89.08,1671,80,0
1992-03-18 00:00:00,88.99,89.15,87.66,88.44,2431,80,0
1992-03-19 00:00:00,88.37,88.98,87.85,88.23,2121,80,0
1992-03-20 00:00:00,88.18,88.54,87.03,88.29,2911,80,0
1992-03-23 00:00:00,88.15,88.57,87.88,88.05,1281,80,0
1992-03-24 00:00:00,88.12,88.59,88.11,88.35,731,80,0
1992-03-25 00:00:00,88.33,89.09,88.33,88.92,931,80,0
1992-03-26 00:00:00,88.94,89.05,87.79,88.45,2031,80,0
1992-03-27 00:00:00,87.83,89.41,86.66,89.12,4211,80,0
1992-03-30 00:00:00,89.17,89.19,87.73,88.65,2401,80,0
1992-03-31 00:00:00,88.62,89.46,87.39,88.54,4061,80,0
1992-04-01 00:00:00,88.39,89.54,88.33,89.11,1701,80,0
1992-04-02 00:00:00,89.16,89.77,87.34,89.03,4731,80,0
1992-04-03 00:00:00,89.12,90.16,88.92,89.64,1961,80,0
1992-04-06 00:00:00,89.66,90.11,88.72,88.99,2111,80,0
1992-04-07 00:00:00,89.12,89.85,88.63,89.3,2261,80,0
1992-04-08 00:00:00,89.05,90.38,88.22,88.8,4071,80,0
1992-04-09 00:00:00,88.71,90.21,87.89,88.91,4441,80,0
1992-04-10 00:00:00,88.95,89.06,87.76,88.05,1701,80,0
1992-04-13 00:00:00,88.05,88.79,87.19,87.28,2431,80,0
1992-04-14 00:00:00,87.41,88.22,86.85,87.41,2741,80,0
1992-04-15 00:00:00,87.49,88.08,85.15,86.94,5311,80,0
1992-04-16 00:00:00,86.99,87.19,86.06,86.74,2011,80,0
1992-04-17 00:00:00,86.67,86.86,86.64,86.7,411,80,0
1992-04-21 00:00:00,87.37,87.52,85.21,86.83,4081,80,0
1992-04-22 00:00:00,86.94,87.61,86.63,87.0,1901,80,0
1992-04-23 00:00:00,87.14,87.52,86.84,87.41,1091,80,0
1992-04-24 00:00:00,87.52,88.29,87.47,87.92,1241,80,0
1992-04-27 00:00:00,88.33,88.33,86.53,87.23,2501,80,0
1992-04-28 00:00:00,86.88,87.92,86.61,87.78,1721,80,0
1992-04-29 00:00:00,87.95,88.15,87.55,87.8,1051,80,0
1992-04-30 00:00:00,87.73,88.27,87.39,88.2,1291,80,0
1992-05-04 00:00:00,89.03,89.91,87.49,88.16,3971,80,0
