time,open,high,low,close,tick_volume,spread,real_volume
2025-02-04 00:00:00,2.21045,2.21059,2.20705,2.20804,314,208,0
2025-02-04 01:00:00,2.20792,2.20987,2.20684,2.20919,2341,41,0
2025-02-04 02:00:00,2.20918,2.21165,2.2077,2.21083,2323,39,0
2025-02-04 03:00:00,2.21081,2.21271,2.20968,2.2109199999999998,3802,42,0
2025-02-04 04:00:00,2.2109199999999998,2.21244,2.21042,2.212,3156,42,0
2025-02-04 05:00:00,2.21203,2.21477,2.21178,2.21451,2427,42,0
2025-02-04 06:00:00,2.2145,2.21636,2.21432,2.21624,2343,42,0
2025-02-04 07:00:00,2.21625,2.21827,2.21584,2.21739,5810,39,0
2025-02-04 08:00:00,2.2174,2.21752,2.21493,2.21503,2979,39,0
2025-02-04 09:00:00,2.21495,2.2154,2.21341,2.21414,3078,39,0
2025-02-04 10:00:00,2.21388,2.21635,2.21345,2.21566,4526,39,0
2025-02-04 11:00:00,2.2156000000000002,2.21701,2.21491,2.21572,3479,39,0
2025-02-04 12:00:00,2.21565,2.21605,2.21356,2.21375,2550,40,0
2025-02-04 13:00:00,2.21372,2.21383,2.21215,2.21242,3713,39,0
2025-02-04 14:00:00,2.21243,2.21358,2.21163,2.21334,4764,39,0
2025-02-04 15:00:00,2.21332,2.21448,2.2128,2.21297,5487,40,0
2025-02-04 16:00:00,2.21295,2.21428,2.20997,2.20997,5742,40,0
2025-02-04 17:00:00,2.20964,2.21162,2.20851,2.21109,6116,40,0
2025-02-04 18:00:00,2.21106,2.21121,2.20878,2.20993,4123,43,0
2025-02-04 19:00:00,2.20994,2.21152,2.20979,2.21048,4088,42,0
2025-02-04 20:00:00,2.21057,2.2106,2.20842,2.20866,2867,42,0
2025-02-04 21:00:00,2.20866,2.20925,2.20727,2.20759,2981,42,0
2025-02-04 22:00:00,2.2075,2.20957,2.2074,2.20937,2788,40,0
2025-02-04 23:00:00,2.20931,2.20958,2.20749,2.20799,1422,39,0
2025-02-05 00:00:00,2.2069900000000002,2.20813,2.2069900000000002,2.20758,260,170,0
2025-02-05 01:00:00,2.20755,2.20945,2.2075,2.20899,887,37,0
2025-02-05 02:00:00,2.20896,2.20912,2.20583,2.20708,2169,39,0
2025-02-05 03:00:00,2.20703,2.20802,2.20533,2.20778,4225,39,0
2025-02-05 04:00:00,2.20784,2.20857,2.20551,2.20605,2942,39,0
2025-02-05 05:00:00,2.20605,2.20623,2.20369,2.20447,1907,40,0
2025-02-05 06:00:00,2.20443,2.20559,2.2041,2.20492,1498,41,0
2025-02-05 07:00:00,2.20494,2.20496,2.20281,2.20404,1772,41,0
2025-02-05 08:00:00,2.20405,2.20471,2.20186,2.20386,2460,39,0
2025-02-05 09:00:00,2.20385,2.20573,2.20253,2.20421,3627,39,0
2025-02-05 10:00:00,2.20413,2.20469,2.20032,2.20081,3841,39,0
2025-02-05 11:00:00,2.2005,2.20383,2.2001,2.20279,3138,39,0
2025-02-05 12:00:00,2.2027200000000002,2.20472,2.20146,2.20365,2936,39,0
2025-02-05 13:00:00,2.20368,2.20537,2.20351,2.20355,2288,39,0
2025-02-05 14:00:00,2.20354,2.20482,2.20288,2.20461,2265,42,0
2025-02-05 15:00:00,2.20464,2.20522,2.20206,2.20321,4310,40,0
2025-02-05 16:00:00,2.20323,2.20485,2.20001,2.20208,4056,39,0
2025-02-05 17:00:00,2.20076,2.20076,2.19439,2.19711,7078,40,0
2025-02-05 18:00:00,2.1971600000000002,2.1981,2.19603,2.1965,3629,39,0
2025-02-05 19:00:00,2.1965,2.198,2.19635,2.19692,2531,40,0
2025-02-05 20:00:00,2.19697,2.19831,2.19661,2.19812,1862,41,0
2025-02-05 21:00:00,2.19813,2.1992599999999998,2.19802,2.19895,1948,41,0
2025-02-05 22:00:00,2.19894,2.19911,2.19731,2.19763,1783,30,0
2025-02-05 23:00:00,2.19762,2.1985,2.19746,2.1985,943,41,0
2025-02-06 00:00:00,2.19771,2.19833,2.19723,2.198,252,164,0
2025-02-06 01:00:00,2.19802,2.19855,2.19759,2.19782,651,38,0
2025-02-06 02:00:00,2.19783,2.19914,2.1974299999999998,2.1988,1834,39,0
2025-02-06 03:00:00,2.19882,2.19914,2.19787,2.19888,2879,41,0
2025-02-06 04:00:00,2.19891,2.20142,2.1987,2.201,2073,40,0
2025-02-06 05:00:00,2.201,2.20315,2.2007,2.20274,1680,40,0
2025-02-06 06:00:00,2.2027200000000002,2.20389,2.20192,2.20372,1227,41,0
2025-02-06 07:00:00,2.20371,2.20396,2.20265,2.20332,1406,40,0
2025-02-06 08:00:00,2.20331,2.20416,2.20313,2.20365,1350,41,0
2025-02-06 09:00:00,2.20345,2.20481,2.20283,2.20406,2309,39,0
2025-02-06 10:00:00,2.204,2.20431,2.20014,2.20034,2806,39,0
2025-02-06 11:00:00,2.20035,2.20142,2.19568,2.19648,2721,40,0
2025-02-06 12:00:00,2.19632,2.19681,2.19252,2.19383,2483,39,0
