time,open,high,low,close,tick_volume,spread,real_volume
2025-02-04 00:00:00,1.442,1.44303,1.44074,1.44096,882,44,0
2025-02-04 01:00:00,1.44097,1.4421300000000001,1.43856,1.4420600000000001,2143,25,0
2025-02-04 02:00:00,1.4420600000000001,1.44523,1.44165,1.44428,1976,21,0
2025-02-04 03:00:00,1.44428,1.44612,1.44376,1.44479,2784,16,0
2025-02-04 04:00:00,1.44476,1.44648,1.44473,1.44583,1494,19,0
2025-02-04 05:00:00,1.44584,1.4473,1.44531,1.4468,1174,15,0
2025-02-04 06:00:00,1.44681,1.44812,1.44656,1.44802,1017,15,0
2025-02-04 07:00:00,1.44803,1.45018,1.44784,1.4485999999999999,4335,15,0
2025-02-04 08:00:00,1.4485999999999999,1.44873,1.44616,1.44617,1648,20,0
2025-02-04 09:00:00,1.44619,1.44656,1.44298,1.44378,2966,15,0
2025-02-04 10:00:00,1.44378,1.44604,1.4433099999999999,1.44495,4757,15,0
2025-02-04 11:00:00,1.44496,1.44539,1.44237,1.44246,3957,15,0
2025-02-04 12:00:00,1.44248,1.44321,1.44171,1.4417499999999999,3081,15,0
2025-02-04 13:00:00,1.44174,1.44356,1.44139,1.4434,2826,15,0
2025-02-04 14:00:00,1.44339,1.44409,1.44157,1.44157,2660,15,0
2025-02-04 15:00:00,1.44158,1.4417499999999999,1.43807,1.43823,4691,15,0
2025-02-04 16:00:00,1.43824,1.43921,1.43601,1.4369399999999999,5577,15,0
2025-02-04 17:00:00,1.43695,1.43701,1.43268,1.43269,6435,15,0
2025-02-04 18:00:00,1.4327,1.43326,1.43084,1.43195,5124,15,0
2025-02-04 19:00:00,1.43198,1.43499,1.43157,1.43395,3960,15,0
2025-02-04 20:00:00,1.43396,1.43455,1.43309,1.43322,2104,15,0
2025-02-04 21:00:00,1.4332099999999999,1.43363,1.43008,1.43048,2955,15,0
2025-02-04 22:00:00,1.43048,1.43178,1.43042,1.43166,2567,15,0
2025-02-04 23:00:00,1.43166,1.43314,1.43163,1.43217,845,15,0
2025-02-05 00:00:00,1.43215,1.43254,1.43189,1.43218,385,49,0
