test_id,category,symbol,description,sample_size,metric_value,test_statistic,raw_p_value,bonferroni_adjusted_alpha,significant_after_correction,epistemic_status
EXP_H_EURUSD_H00,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 00:00 UTC,416,1.21,5.1787,0.0,0.00208,True,HYPOTHESIS_ONLY
EXP_H_EURUSD_H01,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 01:00 UTC,416,2.14,5.6407,0.0,0.00208,True,HYPOTHESIS_ONLY
EXP_H_EURUSD_H02,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 02:00 UTC,416,0.61,1.728,0.08399,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H03,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 03:00 UTC,416,0.78,1.9331,0.05323,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H04,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 04:00 UTC,416,-0.82,-2.5107,0.01205,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H05,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 05:00 UTC,416,0.1,0.3994,0.6896,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H06,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 06:00 UTC,416,0.13,0.4745,0.63511,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H07,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 07:00 UTC,416,0.11,0.3851,0.70013,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H08,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 08:00 UTC,416,0.3,0.927,0.35394,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H09,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 09:00 UTC,416,0.42,0.8743,0.38193,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H10,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 10:00 UTC,418,0.25,0.417,0.67668,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H11,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 11:00 UTC,418,0.37,0.8244,0.40972,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H12,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 12:00 UTC,418,0.01,0.0185,0.98521,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H13,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 13:00 UTC,418,-0.63,-1.4827,0.13816,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H14,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 14:00 UTC,418,-0.58,-1.2842,0.19906,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H15,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 15:00 UTC,418,1.21,1.6904,0.09095,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H16,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 16:00 UTC,418,1.14,2.0489,0.04047,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H17,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 17:00 UTC,418,0.63,0.9516,0.34128,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H18,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 18:00 UTC,418,-0.48,-1.0,0.31732,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H19,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 19:00 UTC,418,-0.64,-1.5462,0.12205,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H20,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 20:00 UTC,418,-0.58,-1.3716,0.1702,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H21,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 21:00 UTC,416,0.32,0.8184,0.41312,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H22,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 22:00 UTC,416,-0.16,-0.4499,0.65275,0.00208,False,HYPOTHESIS_ONLY
EXP_H_EURUSD_H23,Intraday_Hourly_Seasonality,EURUSD,Randament mediu la ora 23:00 UTC,410,0.41,1.8145,0.0696,0.00208,False,HYPOTHESIS_ONLY
EXP_H_USDJPY_H00,Intraday_Hourly_Seasonality,USDJPY,Randament mediu la ora 00:00 UTC,417,0.74,2.2444,0.02481,0.00208,False,HYPOTHESIS_ONLY
EXP_H_USDJPY_H01,Intraday_Hourly_Seasonality,USDJPY,Randament mediu la ora 01:00 UTC,416,2.05,4.2099,3e-05,0.00208,True,HYPOTHESIS_ONLY
EXP_H_USDJPY_H02,Intraday_Hourly_Seasonality,USDJPY,Randament mediu la ora 02:00 UTC,416,-0.61,-1.1457,0.2519,0.00208,False,HYPOTHESIS_ONLY
EXP_H_USDJPY_H03,Intraday_Hourly_Seasonality,USDJPY,Randament mediu la ora 03:00 UTC,416,-0.9,-1.37,0.17069,0.00208,False,HYPOTHESIS_ONLY
EXP_H_USDJPY_H04,Intraday_Hourly_Seasonality,USDJPY,Randament mediu la ora 04:00 UTC,416,0.77,1.5517,0.12074,0.00208,False,HYPOTHESIS_ONLY
