symbol,category,path,trade_mode,digits,point,contract_size,tick_size,tick_value,spread_points,swap_long,swap_short,swap_mode,swap_rollover3days,d1_bars,d1_start,d1_end,h1_bars,h1_start,h1_end
AUDCAD,FX_CROSS,Forex\AUDCAD,4,5,1e-05,100000.0,1e-05,0.7057113217267346,0,0.3,-7.1,1,3,7246,2000-03-10,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
AUDCHF,FX_CROSS,Forex\AUDCHF,4,5,1e-05,100000.0,1e-05,1.2233762738405454,0,2.5,-8.3,1,3,7727,1998-05-11,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
AUDJPY,FX_CROSS,Forex\AUDJPY,4,3,0.001,100000.0,0.001,0.6477774754816226,115,4.6,-13.4,1,3,9121,1993-05-17,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
AUDNZD,FX_CROSS,Forex\AUDNZD,4,5,1e-05,100000.0,1e-05,0.5768900000000001,0,0.1,-7.3,1,3,6417,2000-01-26,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
AUDUSD,FX_MAJOR,Forex\AUDUSD,4,5,1e-05,100000.0,1e-05,1.0,59,-3.3,-1.8,1,3,9152,1993-04-27,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
CADCHF,FX_CROSS,Forex\CADCHF,4,5,1e-05,100000.0,1e-05,1.2233762738405454,0,1.0,-6.5,1,3,7727,1998-05-08,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
CADJPY,FX_CROSS,Forex\CADJPY,4,3,0.001,100000.0,0.001,0.6477774754816226,96,1.0,-9.5,1,3,7095,2000-03-14,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
CHFJPY,FX_CROSS,Forex\CHFJPY,4,3,0.001,100000.0,0.001,0.6477774754816226,0,-8.5,-3.5,1,3,9118,1992-02-19,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
EURAUD,FX_CROSS,Forex\EURAUD,4,5,1e-05,100000.0,1e-05,0.71331,0,-14.2,2.0,1,3,6001,2004-06-17,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
EURCAD,FX_CROSS,Forex\EURCAD,4,5,1e-05,100000.0,1e-05,0.7192795695831057,0,-6.2,-4.5,1,3,7311,1999-12-20,2026-09-15,10000,2025-02-04 00:00,2026-09-15 00:00
