symbol,category,d1_bars,duplicate_timestamps,out_of_order_timestamps,zero_volume_bars,frozen_bars,negative_spread_bars,zero_spread_bars,max_gap_calendar_days,median_spread_points,median_atr14_points,relative_cost_pct,eligible,exclusion_reason
AUDCAD,FX_CROSS,7246,0,0,0,0,0,383,0,80.0,782.2,10.23,True,NONE
AUDCHF,FX_CROSS,7727,0,0,0,0,0,413,0,80.0,808.2,9.9,True,NONE
AUDJPY,FX_CROSS,9121,0,0,0,6,0,345,7,60.0,948.9,6.32,False,frozen_bars_6
AUDNZD,FX_CROSS,6417,0,0,0,40,0,367,924,100.0,737.2,13.56,False,relative_cost_excess_13.6pct; frozen_bars_40
AUDUSD,FX_MAJOR,9152,0,0,0,0,0,353,0,40.0,699.4,5.72,True,NONE
CADCHF,FX_CROSS,7727,0,0,0,0,0,362,0,80.0,838.3,9.54,True,NONE
CADJPY,FX_CROSS,7095,0,0,0,5,0,396,235,60.0,875.6,6.85,False,frozen_bars_5
CHFJPY,FX_CROSS,9118,0,0,0,0,0,286,95,50.0,932.4,5.36,True,NONE
EURAUD,FX_CROSS,6001,0,0,0,0,0,323,63,90.0,1226.2,7.34,True,NONE
EURCAD,FX_CROSS,7311,0,0,0,0,0,286,13,80.0,1186.1,6.75,True,NONE
EURCHF,FX_CROSS,9093,0,0,0,0,0,369,0,30.0,630.9,4.76,True,NONE
EURGBP,FX_CROSS,9165,0,0,0,0,0,367,0,30.0,545.0,5.5,True,NONE
EURJPY,FX_CROSS,9039,0,0,0,0,0,378,121,40.0,1184.2,3.38,True,NONE
EURNZD,FX_CROSS,7554,0,0,0,0,0,366,0,120.0,1650.7,7.27,True,NONE
EURUSD,FX_MAJOR,10000,0,0,0,0,0,450,0,20.0,988.8,2.02,True,NONE
GBPAUD,FX_CROSS,7721,0,0,0,0,0,278,0,100.0,1738.2,5.75,True,NONE
GBPCAD,FX_CROSS,7736,0,0,0,0,0,362,0,100.0,1566.9,6.38,True,NONE
GBPNZD,FX_CROSS,5718,0,0,0,0,0,2726,0,29.0,1906.0,1.52,True,NONE
GBPJPY,FX_CROSS,9165,0,0,0,0,0,363,0,80.0,1638.6,4.88,True,NONE
GBPUSD,FX_MAJOR,9157,0,0,0,0,0,367,0,30.0,1201.0,2.5,True,NONE
GBPCHF,FX_CROSS,8875,0,0,0,515,0,362,326,80.0,1284.6,6.23,False,frozen_bars_515
NZDCAD,FX_CROSS,7737,0,0,0,212,0,4296,0,19.0,755.3,2.52,False,frozen_bars_212
NZDCHF,FX_CROSS,7735,0,0,0,138,0,4268,0,18.0,785.6,2.29,False,frozen_bars_138
NZDJPY,FX_CROSS,7728,0,0,0,0,0,362,0,80.0,846.5,9.45,True,NONE
NZDUSD,FX_MAJOR,8799,0,0,0,0,0,279,24,40.0,663.3,6.03,True,NONE
USDCAD,FX_MAJOR,9168,0,0,0,0,0,445,0,40.0,831.1,4.81,True,NONE
USDCHF,FX_MAJOR,10000,0,0,0,0,0,303,0,50.0,1057.3,4.73,True,NONE
USDJPY,FX_MAJOR,10000,0,0,0,0,0,449,0,30.0,999.6,3.0,True,NONE
XAUUSD,METALS,6774,0,0,0,0,0,3138,0,150.0,1760.2,8.52,True,NONE
XAGUSD,METALS,6188,0,0,0,0,0,2634,0,800.0,497.6,160.77,False,relative_cost_excess_160.8pct
XAUEUR,METALS,3494,0,0,0,0,0,1134,0,80.0,1771.5,4.52,True,NONE
BTCUSD,CRYPTO,4406,0,0,3049,3,0,4180,113,1459.0,67237.3,2.17,False,frozen_bars_3
ETHUSD,CRYPTO,3655,0,0,3050,0,0,3429,0,143.0,7214.8,1.98,True,NONE
XRPUSD,CRYPTO,3218,0,0,2801,0,0,2888,0,49.0,368.2,13.31,False,relative_cost_excess_13.3pct
SOLUSD,CRYPTO,2227,0,0,1996,0,0,2001,0,25.0,612.1,4.08,True,NONE
ADAUSD,CRYPTO,3074,0,0,2844,0,0,2848,0,6.0,206.0,2.91,True,NONE
DOGEUSD,CRYPTO,2630,0,0,2400,0,0,2404,0,13.0,611.9,2.12,True,NONE
