symbol,category,hour_utc,median_spread_points,mean_spread_points,p90_spread_points,samples_count
ADAUSD,CRYPTO,0,6.0,5.7,6.0,226
ADAUSD,CRYPTO,1,6.0,5.7,6.0,225
ADAUSD,CRYPTO,2,6.0,5.7,6.0,226
ADAUSD,CRYPTO,3,6.0,5.7,6.0,226
ADAUSD,CRYPTO,4,6.0,5.7,6.0,226
ADAUSD,CRYPTO,5,6.0,5.7,6.0,223
ADAUSD,CRYPTO,6,6.0,5.7,6.0,224
ADAUSD,CRYPTO,7,6.0,5.7,6.0,225
ADAUSD,CRYPTO,8,6.0,5.7,6.0,226
ADAUSD,CRYPTO,9,6.0,5.7,6.0,226
ADAUSD,CRYPTO,10,6.0,5.7,6.0,226
ADAUSD,CRYPTO,11,6.0,5.7,6.0,225
ADAUSD,CRYPTO,12,6.0,5.7,6.0,226
ADAUSD,CRYPTO,13,6.0,5.7,6.0,226
ADAUSD,CRYPTO,14,6.0,5.7,6.0,225
ADAUSD,CRYPTO,15,6.0,5.7,6.0,225
ADAUSD,CRYPTO,16,6.0,5.7,6.0,226
ADAUSD,CRYPTO,17,6.0,5.7,6.0,226
ADAUSD,CRYPTO,18,6.0,5.7,6.0,226
ADAUSD,CRYPTO,19,6.0,5.7,6.0,225
ADAUSD,CRYPTO,20,6.0,5.7,6.0,226
ADAUSD,CRYPTO,21,6.0,5.7,6.0,226
ADAUSD,CRYPTO,22,6.0,5.7,6.0,226
ADAUSD,CRYPTO,23,6.0,5.7,6.0,223
AUDCAD,FX_CROSS,0,62.0,66.0,95.4,417
AUDCAD,FX_CROSS,1,24.0,24.1,27.0,416
AUDCAD,FX_CROSS,2,18.0,18.3,20.0,416
AUDCAD,FX_CROSS,3,18.0,16.7,18.0,416
AUDCAD,FX_CROSS,4,18.0,16.7,18.0,416
AUDCAD,FX_CROSS,5,18.0,16.7,18.0,416
AUDCAD,FX_CROSS,6,18.0,16.8,18.0,416
AUDCAD,FX_CROSS,7,18.0,16.8,18.0,416
AUDCAD,FX_CROSS,8,18.0,16.7,18.0,416
AUDCAD,FX_CROSS,9,18.0,16.5,18.0,416
AUDCAD,FX_CROSS,10,18.0,16.4,18.0,418
AUDCAD,FX_CROSS,11,18.0,16.4,18.0,418
AUDCAD,FX_CROSS,12,18.0,16.4,18.0,418
AUDCAD,FX_CROSS,13,18.0,16.4,18.0,418
AUDCAD,FX_CROSS,14,18.0,16.3,18.0,418
AUDCAD,FX_CROSS,15,18.0,16.3,18.0,418
AUDCAD,FX_CROSS,16,18.0,16.2,18.0,418
AUDCAD,FX_CROSS,17,18.0,16.2,18.0,418
AUDCAD,FX_CROSS,18,18.0,16.2,18.0,418
AUDCAD,FX_CROSS,19,18.0,16.3,18.0,418
AUDCAD,FX_CROSS,20,18.0,16.3,18.0,418
AUDCAD,FX_CROSS,21,18.0,16.3,18.0,416
AUDCAD,FX_CROSS,22,18.0,16.4,18.0,416
AUDCAD,FX_CROSS,23,18.0,20.1,20.0,409
AUDCHF,FX_CROSS,0,49.0,50.9,73.0,417
AUDCHF,FX_CROSS,1,16.0,16.0,18.0,416
AUDCHF,FX_CROSS,2,15.0,14.8,16.0,416
AUDCHF,FX_CROSS,3,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,4,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,5,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,6,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,7,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,8,14.0,14.2,15.0,416
AUDCHF,FX_CROSS,9,14.0,13.8,15.0,416
AUDCHF,FX_CROSS,10,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,11,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,12,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,13,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,14,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,15,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,16,14.0,13.7,15.0,418
AUDCHF,FX_CROSS,17,13.5,13.6,14.0,418
AUDCHF,FX_CROSS,18,13.5,13.6,14.0,418
AUDCHF,FX_CROSS,19,14.0,13.8,15.0,418
AUDCHF,FX_CROSS,20,14.0,13.9,15.0,418
AUDCHF,FX_CROSS,21,14.0,13.9,15.0,416
AUDCHF,FX_CROSS,22,14.0,14.0,15.0,416
AUDCHF,FX_CROSS,23,15.0,17.3,18.0,409
AUDUSD,FX_MAJOR,0,25.0,26.6,38.0,417
AUDUSD,FX_MAJOR,1,18.0,17.6,18.0,416
AUDUSD,FX_MAJOR,2,16.0,15.7,16.0,416
AUDUSD,FX_MAJOR,3,14.0,14.5,15.0,416
AUDUSD,FX_MAJOR,4,14.0,14.5,15.0,416
AUDUSD,FX_MAJOR,5,15.0,14.5,15.0,416
AUDUSD,FX_MAJOR,6,15.0,14.5,15.0,416
