symbol,category,point,contract_size,median_spread_points,p5_spread_points,p95_spread_points,rollover_00h_spread_points,daytime_spread_points,rollover_expansion_multiplier,swap_long,swap_short,swap_rollover3days
ADAUSD,CRYPTO,0.0001,1000000.0,6.0,5.0,6.0,6.0,6.0,1.0,-4.75,-4.75,5
AUDCAD,FX_CROSS,1e-05,100000.0,18.0,14.0,26.0,62.0,18.0,3.44,0.3,-7.1,3
AUDCHF,FX_CROSS,1e-05,100000.0,14.0,13.0,17.0,49.0,14.0,3.5,2.5,-8.3,3
AUDUSD,FX_MAJOR,1e-05,100000.0,14.0,14.0,18.0,25.0,14.0,1.79,-3.3,-1.8,3
CADCHF,FX_CROSS,1e-05,100000.0,14.0,14.0,22.0,70.0,14.0,5.0,1.0,-6.5,3
CHFJPY,FX_CROSS,0.001,100000.0,18.0,17.0,42.0,157.0,18.0,8.72,-8.5,-3.5,3
DOGEUSD,CRYPTO,1e-05,1000000.0,13.0,12.0,13.0,13.0,13.0,1.0,-4.75,-4.75,5
ETHUSD,CRYPTO,0.01,10.0,143.0,143.0,143.0,143.0,143.0,1.0,-4.75,-4.75,5
EURAUD,FX_CROSS,1e-05,100000.0,20.0,16.0,30.0,91.0,16.0,5.69,-14.2,2.0,3
EURCAD,FX_CROSS,1e-05,100000.0,19.0,15.0,32.0,84.0,15.0,5.6,-6.2,-4.5,3
EURCHF,FX_CROSS,1e-05,100000.0,13.0,13.0,25.0,53.0,13.0,4.08,1.0,-9.8,3
EURGBP,FX_CROSS,1e-05,100000.0,8.0,8.0,13.0,27.0,8.0,3.38,-9.0,1.5,3
EURJPY,FX_CROSS,0.001,100000.0,14.0,13.0,23.0,47.0,14.0,3.36,1.5,-14.6,3
EURNZD,FX_CROSS,1e-05,100000.0,20.0,19.0,44.0,168.0,20.0,8.4,-9.5,-3.0,3
EURUSD,FX_MAJOR,1e-05,100000.0,12.0,12.0,15.0,25.0,12.0,2.08,-10.0,2.5,3
GBPAUD,FX_CROSS,1e-05,100000.0,18.0,17.0,36.0,126.0,17.0,7.41,-5.0,-9.0,3
GBPCAD,FX_CROSS,1e-05,100000.0,23.0,18.0,42.0,141.0,22.0,6.41,2.9,-16.2,3
GBPJPY,FX_CROSS,0.001,100000.0,22.0,17.0,35.0,119.0,20.0,5.95,8.0,-30.0,3
GBPNZD,FX_CROSS,1e-05,100000.0,34.0,31.0,53.0,205.0,33.0,6.21,1.5,-19.0,3
GBPUSD,FX_MAJOR,1e-05,100000.0,13.0,11.0,19.0,49.0,12.0,4.08,-4.0,-4.5,3
NZDJPY,FX_CROSS,0.001,100000.0,18.0,16.0,26.0,73.0,18.0,4.06,1.2,-9.0,3
NZDUSD,FX_MAJOR,1e-05,100000.0,12.0,11.0,16.0,35.0,12.0,2.92,-4.4,0.3,3
SOLUSD,CRYPTO,0.01,1000.0,25.0,25.0,25.0,25.0,25.0,1.0,-4.75,-4.75,5
USDCAD,FX_MAJOR,1e-05,100000.0,15.0,15.0,21.0,36.0,15.0,2.4,1.9,-11.2,3
USDCHF,FX_MAJOR,1e-05,100000.0,11.0,11.0,21.0,55.0,11.0,5.0,4.0,-13.0,3
USDJPY,FX_MAJOR,0.001,100000.0,17.0,17.0,21.0,39.0,17.0,2.29,7.0,-22.3,3
XAUEUR,METALS,0.01,100.0,91.5,22.0,500.0,92.0,82.0,1.12,-40.0,7.0,3
XAUUSD,METALS,0.01,100.0,17.0,13.0,170.0,17.0,16.0,1.06,-60.0,19.0,3
