symbol,category,strategy,total_return,cagr,annualized_vol,gross_sharpe,net_sharpe,cost_drag,max_drawdown,trade_count,exposure_pct
ADAUSD,CRYPTO,S1_MOM_20,-0.9999,-0.6003,0.8313,0.8041,-0.6901,1.4942,-1.0,235,99.05
ADAUSD,CRYPTO,S1_MOM_60,-1.0,-0.6286,0.8247,0.6633,-0.7733,1.4367,-1.0,120,97.54
ADAUSD,CRYPTO,S1_MOM_120,-0.9995,-0.5313,0.8119,0.8602,-0.5345,1.3947,-0.9999,45,95.17
ADAUSD,CRYPTO,S1_MOM_252,-1.0,-0.7124,0.7916,0.1073,-1.1779,1.2852,-1.0,54,89.94
ADAUSD,CRYPTO,S2_MR_W20,-1.0,-0.6742,0.555,-0.8643,-1.7248,0.8605,-1.0,224,35.06
ADAUSD,CRYPTO,S2_MR_W50,-0.9999,-0.6194,0.5169,-1.0229,-1.5897,0.5669,-1.0,140,24.21
ADAUSD,CRYPTO,S3_BRK_20,-0.9999,-0.6027,0.829,0.7254,-0.6846,1.41,-0.9999,42,98.53
ADAUSD,CRYPTO,S3_BRK_50,-0.9998,-0.5808,0.8267,0.7514,-0.6438,1.3951,-0.9999,18,97.78
ADAUSD,CRYPTO,S0a_BH,-1.0,-0.6519,0.8393,0.5344,-0.8422,1.3766,-1.0,1,99.96
AUDCAD,FX_CROSS,S1_MOM_20,-0.5086,-0.0258,0.0896,-0.0451,-0.2465,0.2014,-0.5208,717,99.56
AUDCAD,FX_CROSS,S1_MOM_60,-0.7451,-0.049,0.0891,-0.336,-0.5193,0.1833,-0.7469,442,99.02
AUDCAD,FX_CROSS,S1_MOM_120,-0.331,-0.0147,0.0886,0.0402,-0.1224,0.1626,-0.4513,253,98.15
AUDCAD,FX_CROSS,S1_MOM_252,-0.7267,-0.0466,0.0866,-0.3372,-0.507,0.1698,-0.7499,216,96.27
AUDCAD,FX_CROSS,S2_MR_W20,0.0251,0.0009,0.0528,0.1752,0.0437,0.1315,-0.3041,626,35.52
AUDCAD,FX_CROSS,S2_MR_W50,0.3507,0.0111,0.0486,0.3553,0.2515,0.1038,-0.156,440,27.76
AUDCAD,FX_CROSS,S3_BRK_20,-0.6737,-0.0403,0.0893,-0.2597,-0.4165,0.1568,-0.6861,160,99.31
AUDCAD,FX_CROSS,S3_BRK_50,-0.6433,-0.0372,0.0886,-0.2241,-0.3833,0.1592,-0.6636,69,98.13
AUDCAD,FX_CROSS,S4_CARRY,0.0494,0.0018,0.0898,0.0522,0.0647,-0.0125,-0.2838,1,99.99
AUDCAD,FX_CROSS,S0a_BH,0.0494,0.0018,0.0898,0.0522,0.0647,-0.0125,-0.2838,1,99.99
AUDCHF,FX_CROSS,S1_MOM_20,-0.8611,-0.0656,0.1228,-0.3468,-0.4903,0.1435,-0.8772,779,99.51
AUDCHF,FX_CROSS,S1_MOM_60,-0.5898,-0.0301,0.1219,-0.0514,-0.1897,0.1383,-0.6891,434,99.09
AUDCHF,FX_CROSS,S1_MOM_120,-0.6564,-0.036,0.1206,-0.0988,-0.2441,0.1452,-0.6706,311,98.3
AUDCHF,FX_CROSS,S1_MOM_252,-0.8224,-0.0576,0.1188,-0.2777,-0.4395,0.1618,-0.8396,240,96.5
AUDCHF,FX_CROSS,S2_MR_W20,0.5212,0.0145,0.0813,0.2915,0.2174,0.074,-0.2259,658,34.03
AUDCHF,FX_CROSS,S2_MR_W50,0.0571,0.0019,0.0722,0.1199,0.0625,0.0574,-0.2158,467,27.91
AUDCHF,FX_CROSS,S3_BRK_20,-0.7776,-0.0503,0.1228,-0.2556,-0.3585,0.1029,-0.8047,172,99.71
AUDCHF,FX_CROSS,S3_BRK_50,-0.4585,-0.0208,0.1218,0.0212,-0.1123,0.1335,-0.5681,69,98.98
AUDCHF,FX_CROSS,S4_CARRY,-0.1868,-0.0071,0.123,-0.0833,0.0042,-0.0875,-0.4076,1,99.99
AUDCHF,FX_CROSS,S0a_BH,-0.1868,-0.0071,0.123,-0.0833,0.0042,-0.0875,-0.4076,1,99.99
AUDUSD,FX_MAJOR,S1_MOM_20,-0.6095,-0.0267,0.112,-0.0297,-0.1854,0.1557,-0.6297,889,99.59
AUDUSD,FX_MAJOR,S1_MOM_60,-0.6728,-0.0316,0.1119,-0.0957,-0.2312,0.1355,-0.7037,523,99.2
AUDUSD,FX_MAJOR,S1_MOM_120,-0.1008,-0.0031,0.1115,0.1543,0.0284,0.1259,-0.4232,368,98.57
AUDUSD,FX_MAJOR,S1_MOM_252,0.0151,0.0004,0.1111,0.1745,0.0594,0.1151,-0.5171,205,97.1
AUDUSD,FX_MAJOR,S2_MR_W20,-0.098,-0.003,0.0639,0.0922,-0.0144,0.1067,-0.3571,808,35.48
AUDUSD,FX_MAJOR,S2_MR_W50,-0.05,-0.0015,0.0627,0.0882,0.0079,0.0803,-0.3342,558,27.47
AUDUSD,FX_MAJOR,S3_BRK_20,-0.5481,-0.0226,0.1121,-0.0283,-0.1477,0.1194,-0.6366,206,99.73
AUDUSD,FX_MAJOR,S3_BRK_50,-0.6601,-0.0306,0.1117,-0.1097,-0.2221,0.1124,-0.7318,101,98.94
AUDUSD,FX_MAJOR,S4_CARRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AUDUSD,FX_MAJOR,S0a_BH,-0.4862,-0.019,0.1122,0.025,-0.1145,0.1394,-0.5494,1,99.99
CADCHF,FX_CROSS,S1_MOM_20,-0.8252,-0.0581,0.1089,-0.348,-0.495,0.147,-0.8677,781,99.58
CADCHF,FX_CROSS,S1_MOM_60,-0.5838,-0.0297,0.1087,-0.0851,-0.2219,0.1368,-0.7527,413,99.11
CADCHF,FX_CROSS,S1_MOM_120,-0.7911,-0.0524,0.1077,-0.3042,-0.4448,0.1406,-0.8025,381,98.28
CADCHF,FX_CROSS,S1_MOM_252,-0.6994,-0.0404,0.1064,-0.1928,-0.3342,0.1413,-0.7486,203,96.55
CADCHF,FX_CROSS,S2_MR_W20,0.2457,0.0076,0.0622,0.241,0.1525,0.0885,-0.2064,642,33.01
CADCHF,FX_CROSS,S2_MR_W50,-0.0127,-0.0004,0.0596,0.0882,0.0224,0.0658,-0.2731,455,26.62
CADCHF,FX_CROSS,S3_BRK_20,-0.8006,-0.0539,0.1089,-0.3389,-0.4535,0.1146,-0.8448,182,99.52
CADCHF,FX_CROSS,S3_BRK_50,-0.3592,-0.0152,0.1088,0.0313,-0.0863,0.1176,-0.5232,69,99.24
CADCHF,FX_CROSS,S4_CARRY,-0.3288,-0.0136,0.109,-0.1073,-0.0706,-0.0367,-0.4684,1,99.99
CADCHF,FX_CROSS,S0a_BH,-0.3288,-0.0136,0.109,-0.1073,-0.0706,-0.0367,-0.4684,1,99.99
CHFJPY,FX_CROSS,S1_MOM_20,-0.5377,-0.022,0.1155,0.1036,-0.1346,0.2383,-0.705,897,99.7
CHFJPY,FX_CROSS,S1_MOM_60,-0.6999,-0.0342,0.1152,-0.0194,-0.2444,0.2249,-0.8105,523,99.22
CHFJPY,FX_CROSS,S1_MOM_120,-0.5329,-0.0217,0.1145,0.0865,-0.1349,0.2214,-0.6833,362,98.59
CHFJPY,FX_CROSS,S1_MOM_252,-0.4021,-0.0147,0.1131,0.1421,-0.0751,0.2172,-0.6651,249,97.1
CHFJPY,FX_CROSS,S2_MR_W20,0.1718,0.0046,0.0738,0.2233,0.0982,0.1251,-0.3003,752,33.08
CHFJPY,FX_CROSS,S2_MR_W50,-0.1319,-0.0041,0.0715,0.077,-0.0221,0.099,-0.2987,556,27.2
CHFJPY,FX_CROSS,S3_BRK_20,-0.7707,-0.0416,0.115,-0.1049,-0.3115,0.2066,-0.8123,204,99.12
CHFJPY,FX_CROSS,S3_BRK_50,-0.134,-0.0041,0.1148,0.2255,0.0209,0.2047,-0.6389,72,98.95
CHFJPY,FX_CROSS,S4_CARRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CHFJPY,FX_CROSS,S0a_BH,-0.344,-0.0121,0.1156,0.2233,-0.0478,0.2711,-0.628,1,99.99
DOGEUSD,CRYPTO,S1_MOM_20,-1.0,-1.0,1.3842,0.627,-0.7325,1.3595,-1.0,174,98.85
DOGEUSD,CRYPTO,S1_MOM_60,-1.0,-0.7849,1.384,0.6564,-0.6051,1.2615,-1.0,131,96.83
DOGEUSD,CRYPTO,S1_MOM_120,-0.9999,-0.6681,1.3804,0.8009,-0.2979,1.0989,-1.0,64,94.09
DOGEUSD,CRYPTO,S1_MOM_252,-0.9985,-0.5467,1.3636,0.6654,-0.0806,0.746,-0.9996,56,87.84
DOGEUSD,CRYPTO,S2_MR_W20,-1.0,-0.7521,1.0789,-0.0219,-0.8164,0.7945,-1.0,189,36.25
DOGEUSD,CRYPTO,S2_MR_W50,-1.0,-1.0,0.9338,-0.9089,-1.4737,0.5648,-1.0,114,23.32
DOGEUSD,CRYPTO,S3_BRK_20,-1.0,-0.7617,1.382,0.6895,-0.5331,1.2225,-1.0,41,97.98
DOGEUSD,CRYPTO,S3_BRK_50,-1.0,-0.7942,1.3845,0.5273,-0.637,1.1643,-1.0,21,97.36
DOGEUSD,CRYPTO,S0a_BH,-1.0,-0.7176,1.3842,0.8288,-0.4113,1.2401,-1.0,1,99.95
ETHUSD,CRYPTO,S1_MOM_20,-0.0243,-0.002,0.8207,0.9627,0.4132,0.5494,-0.9926,276,99.32
ETHUSD,CRYPTO,S1_MOM_60,1.4444,0.0752,0.8076,0.9472,0.495,0.4522,-0.9929,140,98.04
ETHUSD,CRYPTO,S1_MOM_120,14.5657,0.2496,0.7818,0.9295,0.6729,0.2566,-0.9058,70,96.1
ETHUSD,CRYPTO,S1_MOM_252,7.4013,0.1886,0.7424,0.6597,0.6006,0.0591,-0.9756,42,91.85
ETHUSD,CRYPTO,S2_MR_W20,-0.9998,-0.4914,0.5454,-0.5865,-0.9586,0.3721,-0.9998,278,35.81
ETHUSD,CRYPTO,S2_MR_W50,-0.9999,-0.5153,0.475,-1.036,-1.2714,0.2354,-0.9999,195,27.92
ETHUSD,CRYPTO,S3_BRK_20,7.3709,0.1882,0.8005,0.8739,0.6178,0.2561,-0.9333,56,99.0
ETHUSD,CRYPTO,S3_BRK_50,12.7948,0.2374,0.7755,0.8019,0.6585,0.1435,-0.9354,25,95.75
ETHUSD,CRYPTO,S0a_BH,27.9727,0.3142,0.8039,0.9327,0.7405,0.1922,-0.9445,1,99.97
EURAUD,FX_CROSS,S1_MOM_20,-0.4495,-0.0265,0.0965,-0.0605,-0.2295,0.169,-0.4954,586,99.54
EURAUD,FX_CROSS,S1_MOM_60,-0.5435,-0.0346,0.0963,-0.1672,-0.3176,0.1504,-0.5838,347,98.88
EURAUD,FX_CROSS,S1_MOM_120,-0.3403,-0.0185,0.096,0.0022,-0.1467,0.1489,-0.477,272,97.77
EURAUD,FX_CROSS,S1_MOM_252,-0.5655,-0.0367,0.0954,-0.2039,-0.3449,0.141,-0.5899,186,95.49
EURAUD,FX_CROSS,S2_MR_W20,-0.19,-0.0094,0.0614,-0.0193,-0.1232,0.1039,-0.3067,500,34.54
EURAUD,FX_CROSS,S2_MR_W50,-0.2669,-0.0138,0.0559,-0.1399,-0.2215,0.0816,-0.3274,329,25.65
EURAUD,FX_CROSS,S3_BRK_20,-0.563,-0.0365,0.0964,-0.194,-0.3375,0.1435,-0.5857,139,99.02
EURAUD,FX_CROSS,S3_BRK_50,-0.7092,-0.054,0.0963,-0.3861,-0.528,0.1419,-0.7222,69,98.91
EURAUD,FX_CROSS,S4_CARRY,-0.0768,-0.0036,0.0967,-0.0352,0.0114,-0.0466,-0.4022,1,99.98
EURAUD,FX_CROSS,S0a_BH,-0.5232,-0.0327,0.0967,0.0352,-0.2959,0.3311,-0.5781,1,99.98
EURCAD,FX_CROSS,S1_MOM_20,-0.5671,-0.03,0.09,-0.1106,-0.2938,0.1831,-0.5904,738,99.62
EURCAD,FX_CROSS,S1_MOM_60,-0.4916,-0.0243,0.089,-0.0671,-0.2324,0.1653,-0.5996,421,99.02
EURCAD,FX_CROSS,S1_MOM_120,-0.4527,-0.0217,0.0882,-0.0466,-0.2047,0.1581,-0.5264,292,98.19
EURCAD,FX_CROSS,S1_MOM_252,-0.6329,-0.0358,0.0865,-0.2203,-0.3784,0.1581,-0.6731,250,96.33
EURCAD,FX_CROSS,S2_MR_W20,-0.12,-0.0046,0.0554,0.0531,-0.0562,0.1094,-0.2603,633,34.66
EURCAD,FX_CROSS,S2_MR_W50,-0.0259,-0.001,0.0499,0.0961,0.0057,0.0904,-0.1633,429,26.9
EURCAD,FX_CROSS,S3_BRK_20,-0.7414,-0.0481,0.0899,-0.3514,-0.5026,0.1512,-0.7613,176,99.67
EURCAD,FX_CROSS,S3_BRK_50,-0.6547,-0.038,0.0886,-0.246,-0.3927,0.1467,-0.6921,76,98.8
EURCAD,FX_CROSS,S4_CARRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
EURCAD,FX_CROSS,S0a_BH,-0.3004,-0.0129,0.0903,0.0648,-0.099,0.1638,-0.4386,1,99.99
EURCHF,FX_CROSS,S1_MOM_20,-0.6196,-0.0276,0.0633,-0.1604,-0.409,0.2486,-0.6537,976,99.33
EURCHF,FX_CROSS,S1_MOM_60,-0.4837,-0.019,0.0632,-0.0246,-0.2716,0.247,-0.531,575,98.95
EURCHF,FX_CROSS,S1_MOM_120,-0.4361,-0.0165,0.0631,0.0153,-0.2317,0.247,-0.4704,465,98.49
EURCHF,FX_CROSS,S1_MOM_252,-0.2546,-0.0085,0.0628,0.1642,-0.1045,0.2687,-0.3272,253,96.98
EURCHF,FX_CROSS,S2_MR_W20,-0.1287,-0.004,0.0342,0.0402,-0.0995,0.1397,-0.1534,747,34.06
