symbol,strategy,commission_per_lot_usd,net_sharpe,cagr,cost_drag,trade_count
EURUSD,S1_MOM_60,0.0,0.13,0.0071,0.3126,16
EURUSD,S1_MOM_60,2.0,0.1267,0.0068,0.3159,16
EURUSD,S1_MOM_60,5.0,0.1217,0.0064,0.3208,16
EURUSD,S1_MOM_60,7.0,0.1185,0.0062,0.3241,16
USDJPY,S3_BRK_20,0.0,0.0598,0.0011,0.0378,4
USDJPY,S3_BRK_20,2.0,0.0598,0.0011,0.0378,4
USDJPY,S3_BRK_20,5.0,0.0598,0.0011,0.0378,4
USDJPY,S3_BRK_20,7.0,0.0598,0.0011,0.0378,4
XAUUSD,S1_MOM_20,0.0,0.2191,0.0229,0.1586,31
XAUUSD,S1_MOM_20,2.0,0.2185,0.0227,0.1592,31
XAUUSD,S1_MOM_20,5.0,0.2175,0.0225,0.1602,31
XAUUSD,S1_MOM_20,7.0,0.2169,0.0223,0.1608,31
ETHUSD,S1_MOM_20,0.0,0.3392,0.0152,0.0363,50
ETHUSD,S1_MOM_20,2.0,0.3354,0.0128,0.0401,50
ETHUSD,S1_MOM_20,5.0,0.3296,0.009,0.0459,50
ETHUSD,S1_MOM_20,7.0,0.3258,0.0066,0.0497,50
