injected_true_sharpe,simulations_count,rejections_count,statistical_power_1_minus_beta,power_ci_lower_95,power_ci_upper_95,mean_spa_p_value,median_spa_p_value
0.25,150,0,0.0,0.0,0.025,1.0,1.0
0.5,150,0,0.0,0.0,0.025,1.0,1.0
0.75,150,0,0.0,0.0,0.025,1.0,1.0
1.0,150,0,0.0,0.0,0.025,0.9995,1.0
1.25,150,0,0.0,0.0,0.025,0.9959,1.0
1.5,150,0,0.0,0.0,0.025,0.9664,0.992
2.0,150,0,0.0,0.0,0.025,0.8116,0.876
2.5,150,6,0.04,0.0185,0.0845,0.4562,0.456
3.0,150,37,0.2467,0.1846,0.3214,0.1759,0.125
3.5,150,86,0.5733,0.4933,0.6497,0.0783,0.034
4.0,150,125,0.8333,0.7655,0.8845,0.0285,0.008
4.5,150,143,0.9533,0.9068,0.9772,0.0077,0.0
5.0,150,149,0.9933,0.9632,0.9988,0.0031,0.0
