token_id,market_id,points_all,points_dense,decimation_ratio,first_dense_iso,first_all_iso,start_delay_minutes,settlement_sweeps
6113230748196727...,4537965,3,36,12.0,2026-09-13T20:12:13+00:00,2026-09-13T20:20:14+00:00,8.0,1
1040938035345174...,4537965,3,36,12.0,2026-09-13T20:12:13+00:00,2026-09-13T20:20:14+00:00,8.0,1
4328789871465497...,4537361,3,29,9.67,2026-09-13T20:20:14+00:00,2026-09-13T20:20:14+00:00,0.0,2
8051533704240248...,4537361,3,29,9.67,2026-09-13T20:20:13+00:00,2026-09-13T20:20:13+00:00,0.0,2
7906232500188193...,4537351,3,30,10.0,2026-09-13T20:18:14+00:00,2026-09-13T20:20:16+00:00,2.0,1
8444008409791618...,4537351,3,30,10.0,2026-09-13T20:18:13+00:00,2026-09-13T20:20:15+00:00,2.0,1
6748710301895754...,4537349,3,34,11.33,2026-09-13T20:16:12+00:00,2026-09-13T20:20:13+00:00,4.0,2
1130939192665627...,4537349,3,34,11.33,2026-09-13T20:16:13+00:00,2026-09-13T20:20:14+00:00,4.0,2
6687735572031289...,4536988,3,37,12.33,2026-09-13T20:13:12+00:00,2026-09-13T20:20:12+00:00,7.0,2
4294266722979159...,4536988,3,37,12.33,2026-09-13T20:13:14+00:00,2026-09-13T20:20:15+00:00,7.0,2
3258015973706531...,4536932,3,38,12.67,2026-09-13T20:12:14+00:00,2026-09-13T20:20:15+00:00,8.0,2
1071731708850074...,4536932,3,38,12.67,2026-09-13T20:12:14+00:00,2026-09-13T20:20:15+00:00,8.0,2
7536907161810192...,4536864,2,19,9.5,2026-09-13T20:09:15+00:00,2026-09-13T20:10:15+00:00,1.0,2
1408556618936271...,4536864,2,19,9.5,2026-09-13T20:09:15+00:00,2026-09-13T20:10:15+00:00,1.0,2
9997545547116249...,4536862,3,21,7.0,2026-09-13T20:00:34+00:00,2026-09-13T20:00:34+00:00,0.0,2
3238777280861354...,4536862,3,21,7.0,2026-09-13T20:00:31+00:00,2026-09-13T20:00:31+00:00,0.0,2
1084383327377574...,4536632,2,20,10.0,2026-09-13T20:01:14+00:00,2026-09-13T20:10:15+00:00,9.0,2
2719177227678070...,4536632,2,20,10.0,2026-09-13T20:01:15+00:00,2026-09-13T20:10:16+00:00,9.0,2
8449387860377166...,4536464,5,50,10.0,2026-09-13T20:01:15+00:00,2026-09-13T20:10:15+00:00,9.0,1
6567759194183888...,4536464,5,50,10.0,2026-09-13T20:01:13+00:00,2026-09-13T20:10:13+00:00,9.0,1
2111944581730843...,4535992,3,28,9.33,2026-09-13T19:45:14+00:00,2026-09-13T19:50:15+00:00,5.0,2
4343207745400388...,4535992,3,28,9.33,2026-09-13T19:45:16+00:00,2026-09-13T19:50:17+00:00,5.0,2
1133180198122750...,4535951,4,43,10.75,2026-09-13T19:45:12+00:00,2026-09-13T19:50:13+00:00,5.0,2
7346715426276672...,4535951,4,43,10.75,2026-09-13T19:45:14+00:00,2026-09-13T19:50:15+00:00,5.0,2
2100242732910926...,4535941,5,44,8.8,2026-09-13T19:39:16+00:00,2026-09-13T19:40:17+00:00,1.0,2
1103943066253669...,4535941,5,44,8.8,2026-09-13T19:39:14+00:00,2026-09-13T19:40:13+00:00,1.0,2
8270305937105378...,4535831,7,68,9.71,2026-09-13T19:43:14+00:00,2026-09-13T19:50:15+00:00,7.0,27
7084154169888252...,4535831,7,68,9.71,2026-09-13T19:43:16+00:00,2026-09-13T19:50:18+00:00,7.0,27
1102455074009273...,4535209,4,42,10.5,2026-09-13T19:31:15+00:00,2026-09-13T19:40:16+00:00,9.0,6
6525277446654311...,4535209,4,42,10.5,2026-09-13T19:31:14+00:00,2026-09-13T19:40:14+00:00,9.0,6
1077888673317193...,4535091,9,81,9.0,2026-09-13T19:30:14+00:00,2026-09-13T19:30:14+00:00,0.0,1
5924900216544834...,4535091,9,81,9.0,2026-09-13T19:30:13+00:00,2026-09-13T19:30:13+00:00,0.0,1
9592706274784930...,4535044,4,34,8.5,2026-09-13T19:39:15+00:00,2026-09-13T19:40:14+00:00,1.0,0
2188253080628381...,4535044,4,34,8.5,2026-09-13T19:39:16+00:00,2026-09-13T19:40:16+00:00,1.0,0
6751416144826455...,4534972,4,48,12.0,2026-09-13T19:31:14+00:00,2026-09-13T19:40:13+00:00,9.0,1
1011631685552254...,4534972,4,48,12.0,2026-09-13T19:31:14+00:00,2026-09-13T19:40:14+00:00,9.0,1
8188284694709153...,4534962,6,60,10.0,2026-09-13T19:26:29+00:00,2026-09-13T19:30:19+00:00,3.8,19
9908142467558473...,4534962,6,60,10.0,2026-09-13T19:26:28+00:00,2026-09-13T19:30:18+00:00,3.8,19
1006303180118050...,4534548,7,70,10.0,2026-09-13T19:37:13+00:00,2026-09-13T19:40:13+00:00,3.0,15
1037473555155831...,4534548,7,70,10.0,2026-09-13T19:37:15+00:00,2026-09-13T19:40:18+00:00,3.0,15
