market_index,question,slug,rule_category,ground_truth_category,rule_cluster_key,ground_truth_cluster_key,category_agreed,cluster_agreed,overall_agreed
1,Los Angeles Dodgers vs. Miami Marlins: O/U 10.5,mlb-lad-mia-2026-09-13-total-10pt5,sports_pre_match,sports_pre_match,mlb-lad-mia-2026-09-13,mlb-lad-mia-2026-09-13,True,True,True
2,Spread: Cleveland Guardians (-7.5),mlb-cle-min-2026-09-13-spread-away-7pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
3,Cleveland Guardians vs. Minnesota Twins: O/U 11.5,mlb-cle-min-2026-09-13-total-11pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
4,Spread: Cleveland Guardians (-6.5),mlb-cle-min-2026-09-13-spread-away-6pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
5,Los Angeles Angels vs. Washington Nationals: O/U 11.5,mlb-laa-wsh-2026-09-13-total-11pt5,sports_pre_match,sports_pre_match,mlb-laa-wsh-2026-09-13,mlb-laa-wsh-2026-09-13,True,True,True
6,Houston Astros vs. Tampa Bay Rays: O/U 19.5,mlb-hou-tb-2026-09-13-total-19pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
7,Houston Astros vs. Tampa Bay Rays: O/U 18.5,mlb-hou-tb-2026-09-13-total-18pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
8,Spread: Philadelphia Phillies (-6.5),mlb-phi-atl-2026-09-13-spread-away-6pt5,sports_pre_match,sports_pre_match,mlb-phi-atl-2026-09-13,mlb-phi-atl-2026-09-13,True,True,True
9,Spread: Philadelphia Phillies (-3.5),mlb-phi-atl-2026-09-13-spread-away-3pt5,sports_pre_match,sports_pre_match,mlb-phi-atl-2026-09-13,mlb-phi-atl-2026-09-13,True,True,True
10,Spread: Philadelphia Phillies (-4.5),mlb-phi-atl-2026-09-13-spread-away-4pt5,sports_pre_match,sports_pre_match,mlb-phi-atl-2026-09-13,mlb-phi-atl-2026-09-13,True,True,True
11,Los Angeles Dodgers vs. Miami Marlins: O/U 3.5,mlb-lad-mia-2026-09-13-total-3pt5,sports_pre_match,sports_pre_match,mlb-lad-mia-2026-09-13,mlb-lad-mia-2026-09-13,True,True,True
12,Houston Astros vs. Tampa Bay Rays: O/U 16.5,mlb-hou-tb-2026-09-13-total-16pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
13,Houston Astros vs. Tampa Bay Rays: O/U 17.5,mlb-hou-tb-2026-09-13-total-17pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
14,New York Mets vs. New York Yankees: O/U 2.5,mlb-nym-nyy-2026-09-13-total-2pt5,sports_pre_match,sports_pre_match,mlb-nym-nyy-2026-09-13,mlb-nym-nyy-2026-09-13,True,True,True
15,Spread: Cleveland Guardians (-5.5),mlb-cle-min-2026-09-13-spread-away-5pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
16,"Ethereum above 2,420 on September 13, 5PM ET?",ethereum-above-2420-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
17,"Ethereum above 2,430 on September 13, 5PM ET?",ethereum-above-2430-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
18,"Ethereum above 2,440 on September 13, 5PM ET?",ethereum-above-2440-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
19,"Ethereum above 2,450 on September 13, 5PM ET?",ethereum-above-2450-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
20,"Ethereum above 2,460 on September 13, 5PM ET?",ethereum-above-2460-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
21,"Ethereum above 2,470 on September 13, 5PM ET?",ethereum-above-2470-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
22,"Ethereum above 2,480 on September 13, 5PM ET?",ethereum-above-2480-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
23,"Ethereum above 2,490 on September 13, 5PM ET?",ethereum-above-2490-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
24,"Ethereum above 2,510 on September 13, 5PM ET?",ethereum-above-2510-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
25,"Ethereum above 2,520 on September 13, 5PM ET?",ethereum-above-2520-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
26,"Ethereum above 2,530 on September 13, 5PM ET?",ethereum-above-2530-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
27,"Ethereum above 2,540 on September 13, 5PM ET?",ethereum-above-2540-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
28,"Ethereum above 2,550 on September 13, 5PM ET?",ethereum-above-2550-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
29,"Ethereum above 2,560 on September 13, 5PM ET?",ethereum-above-2560-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
30,"Ethereum above 2,570 on September 13, 5PM ET?",ethereum-above-2570-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
31,"Ethereum above 2,580 on September 13, 5PM ET?",ethereum-above-2580-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,ETH_SEPTEMBER-13-2026-5PM-ET,ETH_SEPTEMBER-13-2026-5PM-ET,True,True,True
32,"Bitcoin above 75,200 on September 13, 5PM ET?",bitcoin-above-75200-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
33,"Bitcoin above 75,400 on September 13, 5PM ET?",bitcoin-above-75400-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
34,"Bitcoin above 75,600 on September 13, 5PM ET?",bitcoin-above-75600-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
35,"Bitcoin above 75,800 on September 13, 5PM ET?",bitcoin-above-75800-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
36,"Bitcoin above 76,000 on September 13, 5PM ET?",bitcoin-above-76000-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
37,"Bitcoin above 76,200 on September 13, 5PM ET?",bitcoin-above-76200-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
38,"Bitcoin above 76,400 on September 13, 5PM ET?",bitcoin-above-76400-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
39,"Bitcoin above 76,600 on September 13, 5PM ET?",bitcoin-above-76600-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
40,"Bitcoin above 76,800 on September 13, 5PM ET?",bitcoin-above-76800-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
41,"Bitcoin above 77,000 on September 13, 5PM ET?",bitcoin-above-77000-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
42,"Bitcoin above 77,400 on September 13, 5PM ET?",bitcoin-above-77400-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
43,"Bitcoin above 77,600 on September 13, 5PM ET?",bitcoin-above-77600-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
44,"Bitcoin above 77,800 on September 13, 5PM ET?",bitcoin-above-77800-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
45,"Bitcoin above 78,000 on September 13, 5PM ET?",bitcoin-above-78000-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
