run_id,total_model_calls,specialist_calls,synthesis_calls,estimated_total,actual_total,variance_percent,wall_time_seconds
run_0000,3,2,1,852,852,0.0,0.00023220002185553312
run_0001,3,2,1,360,360,0.0,0.00015360000543296337
run_0002,3,2,1,1046,1046,0.0,0.00013760000001639128
run_0003,6,5,1,1873,1873,0.0,0.000148200080730021
run_0004,5,4,1,2371,2371,0.0,0.00017030001617968082
run_0005,4,3,1,1063,1063,0.0,0.000130399945192039
run_0006,5,4,1,1654,1654,0.0,0.0001588999293744564
run_0007,4,3,1,1041,1041,0.0,0.00012889993377029896
run_0008,3,2,1,915,915,0.0,0.00011909997556358576
run_0009,5,4,1,1382,1382,0.0,0.00013940001372247934
run_0010,6,5,1,1678,1678,0.0,0.00014540005940943956
run_0011,6,5,1,2351,2351,0.0,0.0002552000805735588
run_0012,5,4,1,2182,2182,0.0,0.00015940004959702492
run_0013,3,2,1,765,765,0.0,0.00012199999764561653
run_0014,5,4,1,1567,1567,0.0,0.00013289996422827244
run_0015,6,5,1,2237,2237,0.0,0.0001553000183776021
run_0016,6,5,1,1080,1080,0.0,0.00013609998859465122
run_0017,5,4,1,1543,1543,0.0,0.0001514999894425273
run_0018,6,5,1,2481,2481,0.0,0.00017420004587620497
run_0019,3,2,1,412,412,0.0,0.0001230000052601099
run_0020,5,4,1,2290,2290,0.0,0.00014479993842542171
run_0021,3,2,1,609,609,0.0,0.00012440001592040062
run_0022,3,2,1,372,372,0.0,0.00018430000636726618
run_0023,6,5,1,1580,1580,0.0,0.00015660002827644348
run_0024,4,3,1,1051,1051,0.0,0.00012649991549551487
run_0025,4,3,1,933,933,0.0,0.00013139995280653238
run_0026,4,3,1,1196,1196,0.0,0.00013069994747638702
run_0027,3,2,1,680,680,0.0,0.0001265000319108367
run_0028,4,3,1,1296,1296,0.0,0.0001308000646531582
run_0029,5,4,1,1981,1981,0.0,0.00013409997336566448
